School,seed,wins
Abilene Christian,14,1
Alabama,2,2
Appalachian State,-1,0
Arkansas,3,3
Baylor,1,6
Brigham Young,6,0
Clemson,7,0
Cleveland State,15,0
Colgate,14,0
Colorado,5,1
Connecticut,7,0
Creighton,5,2
Drake,11,0
Drexel,16,0
Eastern Washington,14,0
Florida,7,1
Florida State,4,2
Georgetown,12,0
Georgia Tech,9,0
Gonzaga,1,5
Grand Canyon,15,0
Hartford,16,1
Houston,2,4
Illinois,1,1
Iona,15,0
Iowa,2,1
Kansas,3,1
Liberty,13,0
Louisiana State,8,1
Loyola (IL),8,2
Maryland,10,1
Michigan,1,3
Michigan State,-1,0
Missouri,9,0
Morehead State,14,0
Mount St. Mary's,-1,0
Norfolk State,16,0
North Carolina,8,0
North Texas,13,1
Ohio,13,1
Ohio State,2,0
Oklahoma,8,1
Oklahoma State,4,1
Oral Roberts,15,2
Oregon,7,2
Oregon State,12,3
Purdue,4,0
Rutgers,10,1
San Diego State,6,0
Southern California,6,3
St. Bonaventure,9,0
Syracuse,11,2
Tennessee,5,0
Texas,3,0
Texas Southern,16,0
Texas Tech,6,1
UC Santa Barbara,12,0
UCLA,11,4
UNC Greensboro,13,0
Utah State,11,0
Villanova,5,2
Virginia,4,0
Virginia Commonwealth,-1,0
Virginia Tech,10,0
West Virginia,3,1
Wichita State,-1,0
Winthrop,12,0
Wisconsin,9,1
